month,mes,n_eventos,porcentaje_anual,dias_con_datos,promedio_diario,eventos_con_energia,eventos_sin_energia,porcentaje_con_energia,porcentaje_sin_energia,energia_media_j,energia_mediana_j,energia_max_j,residual_promedio_km,nstations_promedio
1,Enero,941617,15.152286093683722,31,30374.74193548387,941617,0,100.0,0.0,2697.9255696424343,429.32,53565421.49,11.96577674362294,7.443988373192073
2,Febrero,762417,12.268640547789666,28,27229.178571428572,762417,0,100.0,0.0,4196.301004083068,741.27,24864755.23,12.63122044760282,7.678991942729503
3,Marzo,958673,15.42674735724828,31,30924.935483870966,958673,0,100.0,0.0,5201.9594355218105,1058.11,57577311.22,11.85643102496889,7.985168039571366
4,Abril,546132,8.788231636552526,30,18204.4,546132,0,100.0,0.0,4842.994876238711,1078.45,22156530.38,11.943646774039976,7.96921623343807
5,Mayo,126578,2.0368643186840276,31,4083.1612903225805,126578,0,100.0,0.0,5849.608035993617,1495.78,32551139.46,10.962050277299372,7.382049013256648
6,Junio,57622,0.9272400873075184,30,1920.7333333333333,57622,0,100.0,0.0,2753.1171302627467,897.5799999999999,1163026.6,11.057769601888168,6.970115580854535
7,Julio,27063,0.4354916261636765,31,873.0,27063,0,100.0,0.0,3518.1454310312974,1251.91,882165.96,10.84048701178731,6.664154011011344
8,Agosto,116596,1.876236250385398,31,3761.1612903225805,116596,0,100.0,0.0,2420.604945366908,1005.33,1637908.34,10.08991389069951,6.4904284881128
9,Septiembre,273197,4.3962238404108165,29,9420.586206896553,273197,0,100.0,0.0,3709.5659897070614,1519.31,7491757.71,10.79939274589399,6.962378796253253
10,Octubre,519078,8.352884836337024,31,16744.451612903227,519078,0,100.0,0.0,4131.108643672049,1668.62,4811401.57,11.862262318957844,7.642560462974736
11,Noviembre,750503,12.076923175949366,30,25016.766666666666,750503,0,100.0,0.0,3296.4421768600523,1017.54,6651563.64,11.726726875175714,7.865809996762171
12,Diciembre,1134880,18.26223022948798,31,36609.032258064515,1134880,0,100.0,0.0,3680.9906586070774,1007.23,64698484.3,12.052762935288312,7.619412625123361
