hour,n_eventos
0,342645
1,286065
2,251845
3,242274
4,243358
5,237422
6,222186
7,204931
8,172464
9,132527
10,103441
11,86681
12,76967
13,72338
14,67985
15,80624
16,151352
17,283129
18,425760
19,509231
20,552214
21,556329
22,492006
23,420582
