date,n_eventos
2025-01-01,13977
2025-01-02,15147
2025-01-03,10826
2025-01-04,15760
2025-01-05,13989
2025-01-06,27365
2025-01-07,26729
2025-01-08,33012
2025-01-09,36246
2025-01-10,37852
2025-01-11,39971
2025-01-12,31668
2025-01-13,55851
2025-01-14,57086
2025-01-15,52893
2025-01-16,56779
2025-01-17,51239
2025-01-18,31734
2025-01-19,16362
2025-01-20,46949
2025-01-21,54181
2025-01-22,30810
2025-01-23,23814
2025-01-24,8433
2025-01-25,24565
2025-01-26,26843
2025-01-27,21680
2025-01-28,14710
2025-01-29,20470
2025-01-30,19569
2025-01-31,25107
2025-02-01,17490
2025-02-02,34014
2025-02-03,54197
2025-02-04,41069
2025-02-05,15641
2025-02-06,12912
2025-02-07,18481
2025-02-08,24124
2025-02-09,17232
2025-02-10,31559
2025-02-11,23775
2025-02-12,17926
2025-02-13,31323
2025-02-14,22383
2025-02-15,29114
2025-02-16,56975
2025-02-17,32289
2025-02-18,28183
2025-02-19,15995
2025-02-20,25177
2025-02-21,22964
2025-02-22,11163
2025-02-23,5269
2025-02-24,12236
2025-02-25,24470
2025-02-26,56580
2025-02-27,43089
2025-02-28,36787
2025-03-01,45504
2025-03-02,30561
2025-03-03,35406
2025-03-04,31986
2025-03-05,55024
2025-03-06,33535
2025-03-07,8027
2025-03-08,43599
2025-03-09,42383
2025-03-10,23315
2025-03-11,42498
2025-03-12,28979
2025-03-13,60965
2025-03-14,33270
2025-03-15,19818
2025-03-16,6092
2025-03-17,12475
2025-03-18,31336
2025-03-19,35311
2025-03-20,51505
2025-03-21,25406
2025-03-22,14714
2025-03-23,18890
2025-03-24,11338
2025-03-25,31628
2025-03-26,34380
2025-03-27,29925
2025-03-28,33249
2025-03-29,35543
2025-03-30,38495
2025-03-31,13516
2025-04-01,44191
2025-04-02,13450
2025-04-03,6896
2025-04-04,8168
2025-04-05,9753
2025-04-06,9559
2025-04-07,15465
2025-04-08,24800
2025-04-09,24322
2025-04-10,17932
2025-04-11,12071
2025-04-12,28032
2025-04-13,39862
2025-04-14,42506
2025-04-15,24002
2025-04-16,18701
2025-04-17,16245
2025-04-18,13266
2025-04-19,14650
2025-04-20,11342
2025-04-21,5655
2025-04-22,15804
2025-04-23,15008
2025-04-24,35536
2025-04-25,26544
2025-04-26,15008
2025-04-27,18064
2025-04-28,14740
2025-04-29,2125
2025-04-30,2435
2025-05-01,5085
2025-05-02,5194
2025-05-03,14863
2025-05-04,12487
2025-05-05,6909
2025-05-06,2441
2025-05-07,4363
2025-05-08,8013
2025-05-09,6804
2025-05-10,7567
2025-05-11,3843
2025-05-12,1602
2025-05-13,564
2025-05-14,368
2025-05-15,2230
2025-05-16,434
2025-05-17,597
2025-05-18,1394
2025-05-19,8109
2025-05-20,6778
2025-05-21,6114
2025-05-22,6016
2025-05-23,3028
2025-05-24,1589
2025-05-25,4023
2025-05-26,520
2025-05-27,266
2025-05-28,1923
2025-05-29,2918
2025-05-30,458
2025-05-31,78
2025-06-01,34
2025-06-02,9
2025-06-03,40
2025-06-04,1100
2025-06-05,2075
2025-06-06,2911
2025-06-07,1189
2025-06-08,1442
2025-06-09,1594
2025-06-10,2996
2025-06-11,1949
2025-06-12,1110
2025-06-13,287
2025-06-14,2288
2025-06-15,3782
2025-06-16,5992
2025-06-17,2451
2025-06-18,2243
2025-06-19,368
2025-06-20,621
2025-06-21,150
2025-06-22,18
2025-06-23,122
2025-06-24,4785
2025-06-25,4473
2025-06-26,3952
2025-06-27,1931
2025-06-28,924
2025-06-29,2239
2025-06-30,4547
2025-07-01,898
2025-07-02,249
2025-07-03,67
2025-07-04,1
2025-07-05,1
2025-07-06,18
2025-07-07,2
2025-07-08,147
2025-07-09,90
2025-07-10,58
2025-07-11,324
2025-07-12,169
2025-07-13,375
2025-07-14,13
2025-07-15,67
2025-07-16,26
2025-07-17,1139
2025-07-18,116
2025-07-19,745
2025-07-20,126
2025-07-21,25
2025-07-22,240
2025-07-23,1611
2025-07-24,1347
2025-07-25,2957
2025-07-26,3258
2025-07-27,3489
2025-07-28,4063
2025-07-29,1408
2025-07-30,2858
2025-07-31,1176
2025-08-01,3495
2025-08-02,1129
2025-08-03,404
2025-08-04,1195
2025-08-05,4063
2025-08-06,646
2025-08-07,71
2025-08-08,5373
2025-08-09,6803
2025-08-10,3223
2025-08-11,929
2025-08-12,848
2025-08-13,1059
2025-08-14,7294
2025-08-15,4056
2025-08-16,2161
2025-08-17,8589
2025-08-18,3670
2025-08-19,7308
2025-08-20,6519
2025-08-21,8398
2025-08-22,3684
2025-08-23,12566
2025-08-24,10329
2025-08-25,4751
2025-08-26,1413
2025-08-27,504
2025-08-28,1104
2025-08-29,2015
2025-08-30,199
2025-08-31,2798
2025-09-01,13596
2025-09-02,12993
2025-09-03,7819
2025-09-04,3730
2025-09-05,16890
2025-09-06,9905
2025-09-07,4538
2025-09-09,12580
2025-09-10,25489
2025-09-11,7638
2025-09-12,12544
2025-09-13,4648
2025-09-14,7293
2025-09-15,6805
2025-09-16,7892
2025-09-17,3590
2025-09-18,4995
2025-09-19,9974
2025-09-20,12494
2025-09-21,4522
2025-09-22,8072
2025-09-23,17361
2025-09-24,8980
2025-09-25,1688
