date,n_eventos
2025-09-26,2375
2025-09-27,2299
2025-09-28,15587
2025-09-29,15610
2025-09-30,11290
2025-10-01,18390
2025-10-02,16532
2025-10-03,24449
2025-10-04,4373
2025-10-05,7060
2025-10-06,16626
2025-10-07,24308
2025-10-08,20885
2025-10-09,6761
2025-10-10,3726
2025-10-11,7911
2025-10-12,27309
2025-10-13,36166
2025-10-14,21050
2025-10-15,11447
2025-10-16,12018
2025-10-17,19724
2025-10-18,9664
2025-10-19,16333
2025-10-20,5494
2025-10-21,13539
2025-10-22,25943
2025-10-23,26666
2025-10-24,8503
2025-10-25,9590
2025-10-26,16398
2025-10-27,15863
2025-10-28,32514
2025-10-29,18118
2025-10-30,25946
2025-10-31,15772
2025-11-01,16264
2025-11-02,27803
2025-11-03,41857
2025-11-04,52736
2025-11-05,35270
2025-11-06,13597
2025-11-07,12297
2025-11-08,34824
2025-11-09,40657
2025-11-10,16144
2025-11-11,13552
2025-11-12,24056
2025-11-13,33701
2025-11-14,34211
2025-11-15,20091
2025-11-16,3935
2025-11-17,30828
2025-11-18,40226
2025-11-19,59591
2025-11-20,21375
2025-11-21,23653
2025-11-22,39192
2025-11-23,15501
2025-11-24,4362
2025-11-25,6814
2025-11-26,22440
2025-11-27,14615
2025-11-28,9547
2025-11-29,17018
2025-11-30,24346
2025-12-01,34782
2025-12-02,108402
2025-12-03,36759
2025-12-04,61309
2025-12-05,23134
2025-12-06,54278
2025-12-07,63479
2025-12-08,58584
2025-12-09,30334
2025-12-10,32281
2025-12-11,48786
2025-12-12,39371
2025-12-13,42253
2025-12-14,28428
2025-12-15,19864
2025-12-16,43416
2025-12-17,24004
2025-12-18,14507
2025-12-19,11481
2025-12-20,31180
2025-12-21,17118
2025-12-22,12673
2025-12-23,21139
2025-12-24,55882
2025-12-25,38086
2025-12-26,47457
2025-12-27,42049
2025-12-28,39345
2025-12-29,13858
2025-12-30,21775
2025-12-31,18866
