lag_meses,n,n_efectivo,pearson_r,p_aprox
0,60,28.5,-0.021,0.9163918751094217
1,59,27.7,-0.087,0.6608399371694176
2,58,27.3,-0.143,0.4755656412555753
3,57,26.8,-0.192,0.3401023508459382
4,56,25.7,-0.219,0.28550131369009935
5,55,25.0,-0.208,0.3186824124636198
6,54,23.1,-0.182,0.4031809282324632
