fase_enso,n_meses,rayos_medios,anomalia_media,anomalia_pct_media,z_medio,z_log_medio,indice_medio
El Nino,16,795754.225,13009.061,3.463,0.066,0.061,1.707
La Nina,12,878814.083,109621.398,18.442,0.576,0.544,-1.275
Neutral,32,559617.672,-47612.555,-8.641,-0.249,-0.235,-0.432
