temporada,fase_enso,n_meses,z_medio,z_log_medio,anomalia_pct_media
lluviosa,El Nino,7,-0.102,-0.11,-2.571
lluviosa,La Nina,8,0.705,0.655,21.825
lluviosa,Neutral,20,-0.246,-0.224,-7.83
seca,El Nino,5,-0.074,-0.08,-10.34
seca,La Nina,7,0.295,0.319,16.557
seca,Neutral,13,-0.131,-0.141,-4.946
