lag_meses,n,n_efectivo,pearson_r,p_aprox
0,60,31.9,-0.151,0.4098235482942173
1,59,30.2,-0.211,0.2603995281499397
2,58,29.7,-0.215,0.2560516589598774
3,57,28.6,-0.222,0.25085338541581975
4,56,27.4,-0.227,0.2522873899761994
5,55,26.7,-0.201,0.31818025766997626
6,54,25.4,-0.147,0.47825324553114634
