hour,n_eventos
0,453135
1,411430
2,385434
3,361940
4,329342
5,312521
6,293671
7,263245
8,233327
9,199374
10,169821
11,153204
12,133615
13,114969
14,106703
15,135800
16,237101
17,420757
18,592912
19,701080
20,758273
21,765118
22,711059
23,576706
