temporada,fase_enso,n_meses,z_medio,z_log_medio,anomalia_pct_media
lluviosa,El Nino,7,0.682,0.666,86.743
lluviosa,La Nina,8,0.094,0.099,-14.512
lluviosa,Neutral,20,-0.276,-0.273,-24.57
seca,El Nino,5,0.153,0.355,34.7
seca,La Nina,7,-0.382,-0.401,-50.457
seca,Neutral,13,0.147,0.079,13.808
