lag_meses,n,n_efectivo,pearson_r,p_aprox
0,60,13.9,0.202,0.4918059701563837
1,59,13.7,0.144,0.6276129629944192
2,58,12.5,0.048,0.8779195873614687
3,57,11.8,-0.037,0.9100902296489198
4,56,11.6,-0.121,0.7133398760094871
5,55,10.9,-0.211,0.5375074276495126
6,54,11.0,-0.257,0.44598860417072006
