lag_meses,n,n_efectivo,pearson_r,p_aprox
0,60,31.7,-0.133,0.47168904466090633
1,59,30.0,-0.192,0.3090144654641818
2,58,29.5,-0.211,0.2669401006472322
3,57,28.4,-0.234,0.2272732065650598
4,56,27.1,-0.24,0.22742659502720486
5,55,26.5,-0.206,0.30773436220335826
6,54,25.1,-0.156,0.4546428845215391
