mes,n_rayos_norm_medio,n_rayos_norm_sd
1,353038.8,107641.12811885614
2,435533.0,134143.84794689616
3,328139.6,98255.44664444817
4,156545.6,49950.406062413545
5,45639.9,12194.299961457402
6,27579.48,15842.88753311719
7,22882.9,16278.947996415493
8,59883.119999999995,20198.912154049285
9,122249.34,32303.09628469073
10,267491.6,96521.49337738201
11,393184.6,109733.57435990135
12,425763.2,126504.89697517642
