temporada,fase_enso,n_meses,z_medio,z_log_medio,anomalia_pct_media
lluviosa,El Nino,11,-0.126,-0.136,-3.573
lluviosa,La Nina,8,0.705,0.655,21.825
lluviosa,Neutral,16,-0.266,-0.234,-8.456
seca,El Nino,5,-0.074,-0.08,-10.34
seca,La Nina,4,0.476,0.413,33.525
seca,Neutral,16,-0.096,-0.078,-5.156
