mes,n_rayos_norm_medio,n_rayos_norm_sd
1,416.8,178.22093030842365
2,1339.0,1224.083943199975
3,2793.6,2463.9267034552795
4,4752.8,9662.32524809634
5,170.32,268.5811087921114
6,8.34,5.1061727350335495
7,10.42,11.567713689402932
8,38.14,64.14178045548783
9,54.56,59.05478812086282
10,139.8,110.18030677031173
11,223.8,107.01495222631274
12,331.0,158.22768405054788
