lag_meses,n,n_efectivo,pearson_r,p_aprox
0,60,13.3,0.105,0.7291213505890068
1,59,13.2,0.038,0.9022095574521272
2,58,12.1,-0.055,0.8640362469582078
3,57,11.5,-0.129,0.6957966661555639
4,56,11.3,-0.2,0.5488334597868032
5,55,10.7,-0.264,0.43913281555965766
6,54,10.7,-0.303,0.37219385567402696
