lag_meses,n,n_efectivo,pearson_r,p_aprox
0,60,18.9,-0.088,0.7199890046365591
1,59,18.8,-0.105,0.6719632824484093
2,58,18.1,-0.134,0.593905171645797
3,57,17.7,-0.132,0.6054024877327593
4,56,16.6,-0.121,0.6500534105809648
5,55,17.2,-0.09,0.7302588754244349
6,54,17.1,-0.069,0.7928681836709552
