mes,n_rayos_norm_medio,n_rayos_norm_sd
1,352355.4,74527.35772385869
2,313571.6,70579.8133944827
3,216272.8,51406.54214883549
4,88040.2,31356.022080295836
5,20908.04,9584.373516719807
6,4207.34,4286.726034866236
7,3950.9,3566.9727248746944
8,9396.460000000001,3832.9117584416153
9,37120.38,8501.716472101383
10,102961.8,29027.36483389424
11,193564.0,75789.46969071627
12,358693.0,89068.61967606773
