anio,mes,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,244296,31,31,1.0,244296.0
2021,2,165224,28,28,1.0,165224.0
2021,3,186972,31,31,1.0,186972.0
2021,4,62764,30,30,1.0,62764.0
2021,5,24167,31,31,1.0,24167.0
2021,6,2643,30,30,1.0,2643.0
2021,7,2668,30,31,0.9677,2756.9
2021,8,7305,31,31,1.0,7305.0
2021,9,26579,30,30,1.0,26579.0
2021,10,77427,31,31,1.0,77427.0
2021,11,164195,30,30,1.0,164195.0
2021,12,191141,31,31,1.0,191141.0
2022,1,277078,31,31,1.0,277078.0
2022,2,241934,28,28,1.0,241934.0
2022,3,193420,31,31,1.0,193420.0
2022,4,36152,30,30,1.0,36152.0
2022,5,5276,31,31,1.0,5276.0
2022,6,2047,27,30,0.9,2274.4
2022,7,2244,31,31,1.0,2244.0
2022,8,3198,30,31,0.9677,3304.6
2022,9,20479,30,30,1.0,20479.0
2022,10,38730,31,31,1.0,38730.0
2022,11,52481,30,30,1.0,52481.0
2022,12,313895,31,31,1.0,313895.0
2023,1,275711,31,31,1.0,275711.0
2023,2,284013,28,28,1.0,284013.0
2023,3,180801,31,31,1.0,180801.0
2023,4,78834,30,30,1.0,78834.0
2023,5,15618,31,31,1.0,15618.0
2023,6,321,26,30,0.8667,370.4
2023,7,507,30,31,0.9677,523.9
2023,8,5788,31,31,1.0,5788.0
2023,9,17700,30,30,1.0,17700.0
2023,10,57405,31,31,1.0,57405.0
2023,11,107317,30,30,1.0,107317.0
2023,12,364098,31,31,1.0,364098.0
2024,1,324834,31,31,1.0,324834.0
2024,2,236042,29,29,1.0,236042.0
2024,3,160875,31,31,1.0,160875.0
2024,4,82813,30,30,1.0,82813.0
2024,5,14403,28,31,0.9032,15946.2
2024,6,324,28,30,0.9333,347.1
2024,7,304,29,31,0.9355,325.0
2024,8,2120,30,31,0.9677,2190.7
2024,9,19057,30,30,1.0,19057.0
2024,10,60261,31,31,1.0,60261.0
2024,11,160893,30,30,1.0,160893.0
2024,12,245461,31,31,1.0,245461.0
2025,1,161571,31,31,1.0,161571.0
2025,2,144887,28,28,1.0,144887.0
2025,3,101841,31,31,1.0,101841.0
2025,4,37850,30,30,1.0,37850.0
2025,5,10011,31,31,1.0,10011.0
2025,6,614,29,30,0.9667,635.2
2025,7,1710,26,31,0.8387,2038.8
2025,8,1770,30,31,0.9677,1829.0
2025,9,15131,29,30,0.9667,15652.8
2025,10,43126,31,31,1.0,43126.0
2025,11,74852,30,30,1.0,74852.0
2025,12,107710,31,31,1.0,107710.0
