region,n_rayos,pct,km2,pct_area,rayos_por_km2_por_anio
Amazonia,15016795,71.92,719257.3975878204,54.7,4.18
Andes,5738888,27.48,416390.87076999235,31.7,2.76
Costa,125484,0.6,179561.16861157023,13.7,0.14
