anio,mes,region,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,Amazonia,253122,31,31,1.0,253122.0
2021,2,Amazonia,560476,28,28,1.0,560476.0
2021,3,Amazonia,371866,31,31,1.0,371866.0
2021,4,Amazonia,106077,30,30,1.0,106077.0
2021,5,Amazonia,55908,31,31,1.0,55908.0
2021,6,Amazonia,56379,30,30,1.0,56379.0
2021,7,Amazonia,22234,30,31,0.9677,22975.1
2021,8,Amazonia,92507,31,31,1.0,92507.0
2021,9,Amazonia,103544,30,30,1.0,103544.0
2021,10,Amazonia,260914,31,31,1.0,260914.0
2021,11,Amazonia,604659,30,30,1.0,604659.0
2021,12,Amazonia,689118,31,31,1.0,689118.0
2022,1,Amazonia,612063,31,31,1.0,612063.0
2022,2,Amazonia,529180,28,28,1.0,529180.0
2022,3,Amazonia,299732,31,31,1.0,299732.0
2022,4,Amazonia,169346,30,30,1.0,169346.0
2022,5,Amazonia,33055,31,31,1.0,33055.0
2022,6,Amazonia,31479,27,30,0.9,34976.7
2022,7,Amazonia,55367,31,31,1.0,55367.0
2022,8,Amazonia,56418,30,31,0.9677,58298.6
2022,9,Amazonia,180126,30,30,1.0,180126.0
2022,10,Amazonia,476245,31,31,1.0,476245.0
2022,11,Amazonia,543939,30,30,1.0,543939.0
2022,12,Amazonia,594599,31,31,1.0,594599.0
2023,1,Amazonia,434580,31,31,1.0,434580.0
2023,2,Amazonia,407031,28,28,1.0,407031.0
2023,3,Amazonia,544788,31,31,1.0,544788.0
2023,4,Amazonia,239424,30,30,1.0,239424.0
2023,5,Amazonia,66190,31,31,1.0,66190.0
2023,6,Amazonia,11202,26,30,0.8667,12925.4
2023,7,Amazonia,20867,30,31,0.9677,21562.6
2023,8,Amazonia,43812,31,31,1.0,43812.0
2023,9,Amazonia,153282,30,30,1.0,153282.0
2023,10,Amazonia,292608,31,31,1.0,292608.0
2023,11,Amazonia,369292,30,30,1.0,369292.0
2023,12,Amazonia,286806,31,31,1.0,286806.0
2024,1,Amazonia,406181,31,31,1.0,406181.0
2024,2,Amazonia,683373,29,29,1.0,683373.0
2024,3,Amazonia,333879,31,31,1.0,333879.0
2024,4,Amazonia,227796,30,30,1.0,227796.0
2024,5,Amazonia,53503,28,31,0.9032,59235.5
2024,6,Amazonia,25196,28,30,0.9333,26995.7
2024,7,Amazonia,14769,29,31,0.9355,15787.6
2024,8,Amazonia,74360,30,31,0.9677,76838.7
2024,9,Amazonia,146343,30,30,1.0,146343.0
2024,10,Amazonia,312435,31,31,1.0,312435.0
2024,11,Amazonia,451266,30,30,1.0,451266.0
2024,12,Amazonia,441999,31,31,1.0,441999.0
2025,1,Amazonia,378477,31,31,1.0,378477.0
2025,2,Amazonia,292249,28,28,1.0,292249.0
2025,3,Amazonia,260232,31,31,1.0,260232.0
2025,4,Amazonia,142568,30,30,1.0,142568.0
2025,5,Amazonia,39512,31,31,1.0,39512.0
2025,6,Amazonia,15363,29,30,0.9667,15892.8
2025,7,Amazonia,6292,26,31,0.8387,7502.0
2025,8,Amazonia,43214,30,31,0.9677,44654.5
2025,9,Amazonia,85909,29,30,0.9667,88871.4
2025,10,Amazonia,158191,31,31,1.0,158191.0
2025,11,Amazonia,292754,30,30,1.0,292754.0
2025,12,Amazonia,502699,31,31,1.0,502699.0
2021,1,Andes,244296,31,31,1.0,244296.0
2021,2,Andes,165224,28,28,1.0,165224.0
2021,3,Andes,186972,31,31,1.0,186972.0
2021,4,Andes,62764,30,30,1.0,62764.0
2021,5,Andes,24167,31,31,1.0,24167.0
2021,6,Andes,2643,30,30,1.0,2643.0
2021,7,Andes,2668,30,31,0.9677,2756.9
2021,8,Andes,7305,31,31,1.0,7305.0
2021,9,Andes,26579,30,30,1.0,26579.0
2021,10,Andes,77427,31,31,1.0,77427.0
2021,11,Andes,164195,30,30,1.0,164195.0
2021,12,Andes,191141,31,31,1.0,191141.0
2022,1,Andes,277078,31,31,1.0,277078.0
2022,2,Andes,241934,28,28,1.0,241934.0
2022,3,Andes,193420,31,31,1.0,193420.0
2022,4,Andes,36152,30,30,1.0,36152.0
2022,5,Andes,5276,31,31,1.0,5276.0
2022,6,Andes,2047,27,30,0.9,2274.4
2022,7,Andes,2244,31,31,1.0,2244.0
2022,8,Andes,3198,30,31,0.9677,3304.6
2022,9,Andes,20479,30,30,1.0,20479.0
2022,10,Andes,38730,31,31,1.0,38730.0
2022,11,Andes,52481,30,30,1.0,52481.0
2022,12,Andes,313895,31,31,1.0,313895.0
2023,1,Andes,275711,31,31,1.0,275711.0
2023,2,Andes,284013,28,28,1.0,284013.0
2023,3,Andes,180801,31,31,1.0,180801.0
2023,4,Andes,78834,30,30,1.0,78834.0
2023,5,Andes,15618,31,31,1.0,15618.0
2023,6,Andes,321,26,30,0.8667,370.4
2023,7,Andes,507,30,31,0.9677,523.9
2023,8,Andes,5788,31,31,1.0,5788.0
2023,9,Andes,17700,30,30,1.0,17700.0
2023,10,Andes,57405,31,31,1.0,57405.0
2023,11,Andes,107317,30,30,1.0,107317.0
2023,12,Andes,364098,31,31,1.0,364098.0
2024,1,Andes,324834,31,31,1.0,324834.0
2024,2,Andes,236042,29,29,1.0,236042.0
2024,3,Andes,160875,31,31,1.0,160875.0
2024,4,Andes,82813,30,30,1.0,82813.0
2024,5,Andes,14403,28,31,0.9032,15946.2
2024,6,Andes,324,28,30,0.9333,347.1
2024,7,Andes,304,29,31,0.9355,325.0
2024,8,Andes,2120,30,31,0.9677,2190.7
2024,9,Andes,19057,30,30,1.0,19057.0
2024,10,Andes,60261,31,31,1.0,60261.0
2024,11,Andes,160893,30,30,1.0,160893.0
2024,12,Andes,245461,31,31,1.0,245461.0
2025,1,Andes,161571,31,31,1.0,161571.0
2025,2,Andes,144887,28,28,1.0,144887.0
2025,3,Andes,101841,31,31,1.0,101841.0
2025,4,Andes,37850,30,30,1.0,37850.0
2025,5,Andes,10011,31,31,1.0,10011.0
2025,6,Andes,614,29,30,0.9667,635.2
2025,7,Andes,1710,26,31,0.8387,2038.8
2025,8,Andes,1770,30,31,0.9677,1829.0
2025,9,Andes,15131,29,30,0.9667,15652.8
2025,10,Andes,43126,31,31,1.0,43126.0
2025,11,Andes,74852,30,30,1.0,74852.0
2025,12,Andes,107710,31,31,1.0,107710.0
2021,1,Costa,2621,31,31,1.0,2621.0
2021,2,Costa,3656,28,28,1.0,3656.0
2021,3,Costa,7928,31,31,1.0,7928.0
2021,4,Costa,1198,30,30,1.0,1198.0
2021,5,Costa,263,31,31,1.0,263.0
