lat,lon_w,lon_e,n_puntos,lon_min,lon_max
-18.0,-70.01950659781986,-68.5,8,-72.0,-68.5
-16.0,-72.28504847129008,-68.5,16,-76.0,-68.5
-14.5,-74.95885791366906,-69.5,14,-76.0,-69.5
-13.0,-76.17196721311475,-71.66396672504378,16,-78.0,-70.5
-10.5,-77.42865953947368,-75.41155934833203,14,-79.0,-72.5
-9.0,-78.23511560693642,-76.43699731903486,10,-79.0,-74.5
-8.0,-78.68652647975078,-76.84795321637426,15,-80.0,-73.0
-6.5,-79.03153704837722,-77.58399576046635,14,-81.0,-74.5
-5.0,-79.80775075987842,-79.29015544041451,14,-81.0,-74.5
-2.0,-79.07345971563981,-78.1728695652174,14,-81.0,-74.5
