date,n_eventos
2021-11-30,25653
2021-12-01,29137
2021-12-02,44427
2021-12-03,20932
2021-12-04,29667
2021-12-05,25029
2021-12-06,15737
2021-12-07,9862
2021-12-08,20149
2021-12-09,25653
2021-12-10,38829
2021-12-11,8587
2021-12-12,61576
2021-12-13,77454
2021-12-14,61702
2021-12-15,26884
2021-12-16,30058
2021-12-17,12022
2021-12-18,11899
2021-12-19,12640
2021-12-20,32750
2021-12-21,30800
2021-12-22,104307
2021-12-23,105254
2021-12-24,67679
2021-12-25,86966
2021-12-26,91598
2021-12-27,86876
2021-12-28,125347
2021-12-29,59730
2021-12-30,13854
2021-12-31,36473
