hour,n_eventos
0,428157
1,350988
2,309144
3,277241
4,265173
5,270676
6,268126
7,248604
8,218901
9,183588
10,162886
11,149252
12,136210
13,118086
14,104377
15,130014
16,224933
17,385156
18,528700
19,624676
20,675246
21,683352
22,653637
23,539084
