month,mes,n_eventos,porcentaje_anual,dias_con_datos,promedio_diario,eventos_con_energia,eventos_sin_energia,porcentaje_con_energia,porcentaje_sin_energia,energia_media_j,energia_mediana_j,energia_max_j,residual_promedio_km,nstations_promedio
1,Enero,782483,9.859659658574934,31,25241.387096774193,782483,0,100.0,0.0,2449.9360057534795,486.26,3205206.78,12.54192551148076,7.100779186257082
2,Febrero,1227242,15.463835557716676,28,43830.07142857143,1227242,0,100.0,0.0,2442.497600929564,676.86,8274328.02,12.412416214568928,7.234707580086079
3,Marzo,1165771,14.689271587800064,31,37605.51612903226,1165771,0,100.0,0.0,3692.5033270084773,879.36,19055292.76,11.91314108860145,7.438511508692531
4,Abril,353224,4.450791165099399,30,11774.133333333333,353224,0,100.0,0.0,2812.0402190394766,825.1,2841745.78,12.584676296061422,7.5151745068285285
5,Mayo,176068,2.2185409226347046,31,5679.612903225807,176068,0,100.0,0.0,1382.7238459004475,405.98,278296.53,11.559783719926392,6.780709725787764
6,Junio,122550,1.5441885525415353,30,4085.0,122550,0,100.0,0.0,1779.2628807017543,544.51,1992554.7,10.53116115871073,6.356923704610363
7,Julio,54793,0.6904179792689379,31,1767.516129032258,54793,0,100.0,0.0,1041.5528423338749,340.29,367664.14,9.991351084992608,5.960159144416258
8,Agosto,260017,3.276338432200672,31,8387.645161290322,260017,0,100.0,0.0,805.1433541268456,389.0,521201.13,10.77895560674879,6.212755319844471
9,Septiembre,323891,4.081181350234439,30,10796.366666666667,323891,0,100.0,0.0,906.8500099724907,410.89,998513.92,11.470135632049054,6.656529511471452
10,Octubre,678596,8.550633822933298,31,21890.1935483871,678596,0,100.0,0.0,1188.1251843512193,521.145,3811497.1,11.843386050020927,7.21814452192468
11,Noviembre,1387694,17.485607419262124,30,46256.46666666667,1387694,0,100.0,0.0,965.7303013848874,319.41,1624187.99,11.918308503171447,7.357924009183581
12,Diciembre,1403878,17.689533551733213,31,45286.3870967742,1403878,0,100.0,0.0,1095.718960365502,270.21,5588859.54,12.178909492135357,7.488669955651417
