fase_enso,n_meses,rayos_medios,anomalia_media,anomalia_pct_media,z_medio,z_log_medio,indice_medio
El Nino,16,154251.006,5900.421,-5.731,-0.02,-0.0,1.707
La Nina,12,149966.475,8450.338,15.033,0.295,0.255,-1.275
Neutral,32,106345.156,-6119.087,-2.766,-0.101,-0.095,-0.432
