mes,n_rayos_norm_medio,n_rayos_norm_sd
1,324141.6,69084.65244755885
2,277924.0,60358.60060090857
3,202040.2,46298.36108006417
4,81589.4,28556.575710333338
5,19433.120000000003,9030.448403706208
6,3124.5,2824.9337240013265
7,3344.2599999999998,2891.4497899842563
8,7453.12,3480.5229631479237
9,32182.96,7136.314238316583
10,88403.0,22358.201537690817
11,171515.0,68940.21230747698
12,322980.6,93690.18539473598
