lag_meses,n,n_efectivo,pearson_r,p_aprox
0,60,17.9,-0.057,0.8228748872159011
1,59,17.7,-0.077,0.7647695215031801
2,58,16.9,-0.114,0.6636231350990125
3,57,16.5,-0.12,0.6519453608063568
4,56,15.4,-0.116,0.6756131948679096
5,55,15.9,-0.095,0.7263804274552303
6,54,15.9,-0.085,0.754776321727129
