month,mes,n_eventos,porcentaje_anual,dias_con_datos,promedio_diario,eventos_con_energia,eventos_sin_energia,porcentaje_con_energia,porcentaje_sin_energia,energia_media_j,energia_mediana_j,energia_max_j,residual_promedio_km,nstations_promedio
1,Enero,1236734,14.151997451405984,31,39894.645161290326,1236734,0,100.0,0.0,1450.2842386560085,313.66,20577551.97,12.14792728266547,7.415819408215509
2,Febrero,1113372,12.740361069127868,28,39763.28571428572,1113372,0,100.0,0.0,1572.8168541421915,269.97,20349922.05,12.584154981443758,7.411239010860701
3,Marzo,1486398,17.008912755511655,31,47948.32258064516,1486398,0,100.0,0.0,1857.5152651241458,433.26,43078267.13,12.709321729442584,7.6556359736759605
4,Abril,939279,10.74820779097135,30,31309.3,939279,0,100.0,0.0,2938.048909482699,732.64,43680184.05,12.028861073227443,7.551019452154259
5,Mayo,261867,2.996554729317162,31,8447.322580645161,261867,0,100.0,0.0,3277.4732665818906,796.14,29618146.13,11.778967949378883,7.366002589100574
6,Junio,57205,0.65459914113114,29,1972.5862068965516,57205,0,100.0,0.0,3247.7846609562102,1289.43,699045.27,11.83385193601958,6.984511843370335
7,Julio,72412,0.8286134604945041,31,2335.8709677419356,72412,0,100.0,0.0,2390.059946832017,915.775,1017803.26,9.719691487598741,6.441183781693642
8,Agosto,132074,1.5113281525348166,31,4260.451612903225,132074,0,100.0,0.0,2580.8077075730275,1265.0349999999999,1467192.68,9.70912215878977,6.404704938140739
9,Septiembre,394158,4.510366021675866,30,13138.6,394158,0,100.0,0.0,2268.634944032596,1192.665,684115.19,10.671052978754714,6.8170099300280596
10,Octubre,857078,9.807578405426016,31,27647.677419354837,857078,0,100.0,0.0,1849.3841061606995,883.74,1720844.2,12.023918709849044,7.7007040199375085
11,Noviembre,1170755,13.396997071497033,30,39025.166666666664,1170755,0,100.0,0.0,1918.8232076822223,727.36,14087858.98,12.123727167511563,7.359781508513737
12,Diciembre,1017604,11.64448395090661,31,32825.93548387097,1017604,0,100.0,0.0,3130.9446095239405,713.71,7970029.9,12.550539502596294,7.2277418327758145
