date,n_eventos
2023-11-20,82941
2023-11-21,76701
2023-11-22,41902
2023-11-23,91064
2023-11-24,59010
2023-11-25,18186
2023-11-26,9370
2023-11-27,29155
2023-11-28,35328
2023-11-29,38063
2023-11-30,28510
2023-12-01,15470
2023-12-02,18816
2023-12-03,42587
2023-12-04,45844
2023-12-05,43621
2023-12-06,33867
2023-12-07,27060
2023-12-08,26600
2023-12-09,18796
2023-12-10,9455
2023-12-11,22923
2023-12-12,38493
2023-12-13,19992
2023-12-14,13016
2023-12-15,30382
2023-12-16,16983
2023-12-17,25813
2023-12-18,23212
2023-12-19,41838
2023-12-20,87985
2023-12-21,94310
2023-12-22,69788
2023-12-23,37016
2023-12-24,25057
2023-12-25,14967
2023-12-26,27608
2023-12-27,8315
2023-12-28,19077
2023-12-29,18006
2023-12-30,28066
2023-12-31,72641
