region,n_rayos,pct,km2,pct_area,rayos_por_km2_por_anio
Amazonia,13165547,63.05,620182.117850484,47.2,4.25
Andes,7665961,36.71,583128.8343064768,44.3,2.63
Costa,49659,0.24,111898.48481242235,8.5,0.09
