lag_meses,n,n_efectivo,pearson_r,p_aprox
0,60,28.7,-0.039,0.8420638444539721
1,59,28.0,-0.097,0.6241175243907363
2,58,27.5,-0.133,0.5027882934363315
3,57,27.0,-0.158,0.4317105885877919
4,56,26.0,-0.183,0.37037704702210883
5,55,25.2,-0.185,0.37304220022235623
6,54,23.4,-0.16,0.4622300463858464
