mes,n_rayos_norm_medio,n_rayos_norm_sd
1,324804.2,100092.28515075476
2,399882.2,116696.96765426255
3,313710.6,93871.63155234918
4,150034.4,48241.32817719678
5,44153.64,11869.280902733744
6,26495.140000000003,14373.704353888736
7,22275.239999999998,15604.86162027719
8,57934.6,20083.736844895175
9,117306.88,30909.860798327776
10,252922.0,91663.11024616173
11,371119.0,104734.68797872079
12,390038.2,117888.75001754833
