lag_meses,n,n_efectivo,pearson_r,p_aprox
0,60,13.6,0.117,0.697157465559705
1,59,13.5,0.05,0.8688349764319332
2,58,12.2,-0.043,0.8924105433634901
3,57,11.5,-0.117,0.7245089879435301
4,56,11.3,-0.19,0.570060496111783
5,55,10.6,-0.257,0.4567229716473885
6,54,10.7,-0.3,0.37861504874176544
