lat,lon,elev_m
-18.75,-76.0,-4539.0
-18.75,-75.9,-4498.0
-18.75,-75.8,-4579.0
-18.75,-75.7,-4641.0
-18.75,-75.6,-4524.0
-18.75,-75.5,-4455.0
-18.75,-75.4,-4242.0
-18.75,-75.3,-4242.0
-18.75,-75.2,-4640.0
-18.75,-75.1,-5186.0
-18.75,-75.0,-4633.0
-18.75,-74.9,-4654.0
-18.75,-74.8,-4599.0
-18.75,-74.7,-4562.0
-18.75,-74.6,-4476.0
-18.75,-74.5,-4548.0
-18.75,-74.4,-4595.0
-18.75,-74.3,-4562.0
-18.75,-74.2,-4651.0
-18.75,-74.1,-4544.0
-18.75,-74.0,-4391.0
-18.75,-73.9,-4640.0
-18.75,-73.8,-4515.0
-18.75,-73.7,-4468.0
-18.75,-73.6,-4560.0
-18.75,-73.5,-4448.0
-18.75,-73.4,-4724.0
-18.75,-73.3,-4746.0
-18.75,-73.2,-4884.0
-18.75,-73.1,-4660.0
-18.75,-73.0,-4343.0
-18.75,-72.9,-4169.0
-18.75,-72.8,-4120.0
-18.75,-72.7,-4276.0
-18.75,-72.6,-4768.0
-18.75,-72.5,-5003.0
-18.75,-72.4,-5232.0
-18.75,-72.3,-6146.0
-18.75,-72.2,-6793.0
-18.75,-72.1,-6852.0
-18.75,-72.0,-5841.0
-18.75,-71.9,-4976.0
-18.75,-71.8,-4575.0
-18.75,-71.7,-3637.0
-18.75,-71.6,-3395.0
-18.75,-71.5,-3365.0
-18.75,-71.4,-2749.0
-18.75,-71.3,-1611.0
-18.75,-71.2,-1602.0
-18.75,-71.1,-1600.0
-18.75,-71.0,-1564.0
-18.75,-70.9,-1431.0
-18.75,-70.8,-1430.0
-18.75,-70.7,-1359.0
-18.75,-70.6,-1207.0
-18.75,-70.5,-612.0
-18.75,-70.4,-221.0
-18.75,-70.3,618.0
-18.75,-70.2,736.0
-18.75,-70.1,995.0
-18.75,-70.0,1309.0
-18.75,-69.9,1609.0
-18.75,-69.8,1921.0
-18.75,-69.7,2425.0
-18.75,-69.6,3159.0
-18.75,-69.5,3777.0
-18.75,-69.4,3999.0
-18.75,-69.3,4175.0
-18.75,-69.2,4465.0
-18.75,-69.1,4351.0
-18.75,-69.0,4924.0
-18.75,-68.9,4341.0
-18.75,-68.8,4111.0
-18.75,-68.7,4231.0
-18.75,-68.6,3817.0
-18.75,-68.5,3765.0
-18.75,-68.4,3748.0
-18.75,-68.3,3892.0
-18.75,-68.2,3722.0
-18.75,-68.1,3713.0
-18.75,-68.0,3735.0
-18.5,-82.0,-4405.0
-18.5,-81.9,-4520.0
-18.5,-81.8,-4401.0
-18.5,-81.7,-4596.0
-18.5,-81.6,-4560.0
-18.5,-81.5,-4416.0
-18.5,-81.4,-4370.0
-18.5,-81.3,-4382.0
-18.5,-81.2,-4526.0
-18.5,-81.1,-4534.0
-18.5,-81.0,-4487.0
-18.5,-80.9,-4203.0
-18.5,-80.8,-4253.0
-18.5,-80.7,-4186.0
-18.5,-80.6,-4275.0
-18.5,-80.5,-4170.0
-18.5,-80.4,-4109.0
-18.5,-80.3,-4140.0
-18.5,-80.2,-4042.0
-18.5,-80.1,-3819.0
-18.5,-80.0,-3532.0
-18.5,-79.9,-3642.0
-18.5,-79.8,-3308.0
-18.5,-79.7,-3133.0
-18.5,-79.6,-3108.0
-18.5,-79.5,-3101.0
-18.5,-79.4,-3065.0
-18.5,-79.3,-3043.0
-18.5,-79.2,-3161.0
-18.5,-79.1,-3083.0
-18.5,-79.0,-2551.0
-18.5,-78.9,-3200.0
-18.5,-78.8,-3592.0
-18.5,-78.7,-3696.0
-18.5,-78.6,-3758.0
-18.5,-78.5,-3967.0
-18.5,-78.4,-3978.0
-18.5,-78.3,-4185.0
-18.5,-78.2,-4124.0
-18.5,-78.1,-4239.0
-18.5,-78.0,-4102.0
-18.5,-77.9,-4159.0
-18.5,-77.8,-4204.0
-18.5,-77.7,-4357.0
-18.5,-77.6,-4365.0
-18.5,-77.5,-4226.0
-18.5,-77.4,-4422.0
-18.5,-77.3,-4338.0
-18.5,-77.2,-4434.0
-18.5,-77.1,-4365.0
-18.5,-77.0,-4295.0
-18.5,-76.9,-4364.0
-18.5,-76.8,-4668.0
-18.5,-76.7,-4275.0
-18.5,-76.6,-4399.0
-18.5,-76.5,-4385.0
-18.5,-76.4,-4625.0
-18.5,-76.3,-4752.0
-18.5,-76.2,-4677.0
-18.5,-76.1,-4644.0
-18.5,-76.0,-4835.0
-18.5,-75.9,-4796.0
-18.5,-75.8,-4734.0
-18.5,-75.7,-4572.0
-18.5,-75.6,-4477.0
-18.5,-75.5,-3914.0
-18.5,-75.4,-4414.0
-18.5,-75.3,-4792.0
-18.5,-75.2,-5031.0
-18.5,-75.1,-4541.0
-18.5,-75.0,-4380.0
-18.5,-74.9,-4453.0
-18.5,-74.8,-4606.0
-18.5,-74.7,-4392.0
-18.5,-74.6,-4420.0
-18.5,-74.5,-4213.0
-18.5,-74.4,-4329.0
-18.5,-74.3,-4329.0
-18.5,-74.2,-4362.0
-18.5,-74.1,-4513.0
-18.5,-74.0,-4346.0
-18.5,-73.9,-4150.0
-18.5,-73.8,-4384.0
-18.5,-73.7,-4468.0
-18.5,-73.6,-4382.0
-18.5,-73.5,-4745.0
-18.5,-73.4,-4720.0
-18.5,-73.3,-4558.0
-18.5,-73.2,-4401.0
-18.5,-73.1,-4084.0
-18.5,-73.0,-4246.0
-18.5,-72.9,-4601.0
-18.5,-72.8,-5002.0
-18.5,-72.7,-5287.0
-18.5,-72.6,-5520.0
-18.5,-72.5,-5963.0
-18.5,-72.4,-6321.0
-18.5,-72.3,-6796.0
-18.5,-72.2,-5868.0
-18.5,-72.1,-4928.0
-18.5,-72.0,-4222.0
-18.5,-71.9,-3907.0
-18.5,-71.8,-3632.0
-18.5,-71.7,-2813.0
-18.5,-71.6,-2532.0
-18.5,-71.5,-2554.0
-18.5,-71.4,-1777.0
-18.5,-71.3,-1537.0
-18.5,-71.2,-1071.0
-18.5,-71.1,-1197.0
-18.5,-71.0,-1337.0
-18.5,-70.9,-1266.0
-18.5,-70.8,-1121.0
-18.5,-70.7,-934.0
-18.5,-70.6,-701.0
-18.5,-70.5,-374.0
-18.5,-70.4,-98.0
-18.5,-70.3,103.0
-18.5,-70.2,411.0
-18.5,-70.1,959.0
-18.5,-70.0,1379.0
-18.5,-69.9,1891.0
-18.5,-69.8,2686.0
-18.5,-69.7,2227.0
-18.5,-69.6,3142.0
-18.5,-69.5,3494.0
-18.5,-69.4,4621.0
-18.5,-69.3,4301.0
-18.5,-69.2,4260.0
-18.5,-69.1,4398.0
-18.5,-69.0,4542.0
-18.5,-68.9,3904.0
-18.5,-68.8,3850.0
-18.5,-68.7,3838.0
-18.5,-68.6,3803.0
-18.5,-68.5,3788.0
-18.5,-68.4,3766.0
-18.5,-68.3,3754.0
-18.5,-68.2,3766.0
-18.5,-68.1,3797.0
-18.5,-68.0,3774.0
-18.25,-82.0,-4615.0
-18.25,-81.9,-4519.0
-18.25,-81.8,-4410.0
-18.25,-81.7,-4613.0
-18.25,-81.6,-4507.0
-18.25,-81.5,-4597.0
-18.25,-81.4,-4660.0
-18.25,-81.3,-4524.0
-18.25,-81.2,-4552.0
-18.25,-81.1,-4353.0
-18.25,-81.0,-4475.0
-18.25,-80.9,-4465.0
-18.25,-80.8,-4422.0
-18.25,-80.7,-4460.0
-18.25,-80.6,-4273.0
-18.25,-80.5,-4340.0
-18.25,-80.4,-4230.0
-18.25,-80.3,-4262.0
-18.25,-80.2,-4082.0
-18.25,-80.1,-3830.0
-18.25,-80.0,-3821.0
-18.25,-79.9,-3639.0
-18.25,-79.8,-3500.0
-18.25,-79.7,-3575.0
-18.25,-79.6,-3049.0
-18.25,-79.5,-2918.0
-18.25,-79.4,-3161.0
-18.25,-79.3,-3122.0
-18.25,-79.2,-3130.0
-18.25,-79.1,-3103.0
-18.25,-79.0,-3209.0
-18.25,-78.9,-3170.0
-18.25,-78.8,-3420.0
-18.25,-78.7,-3445.0
-18.25,-78.6,-3630.0
-18.25,-78.5,-3078.0
-18.25,-78.4,-3436.0
-18.25,-78.3,-4188.0
-18.25,-78.2,-4519.0
-18.25,-78.1,-4226.0
-18.25,-78.0,-4275.0
-18.25,-77.9,-3941.0
-18.25,-77.8,-3977.0
-18.25,-77.7,-4045.0
-18.25,-77.6,-4023.0
-18.25,-77.5,-4305.0
-18.25,-77.4,-4313.0
-18.25,-77.3,-4240.0
-18.25,-77.2,-4357.0
-18.25,-77.1,-4269.0
-18.25,-77.0,-4393.0
-18.25,-76.9,-4437.0
-18.25,-76.8,-4450.0
-18.25,-76.7,-4247.0
-18.25,-76.6,-4392.0
-18.25,-76.5,-4400.0
-18.25,-76.4,-4667.0
-18.25,-76.3,-4588.0
-18.25,-76.2,-4581.0
-18.25,-76.1,-4593.0
-18.25,-76.0,-4618.0
-18.25,-75.9,-4522.0
-18.25,-75.8,-4706.0
-18.25,-75.7,-4759.0
-18.25,-75.6,-4945.0
-18.25,-75.5,-5028.0
-18.25,-75.4,-4651.0
-18.25,-75.3,-4671.0
-18.25,-75.2,-4444.0
-18.25,-75.1,-4374.0
-18.25,-75.0,-4421.0
-18.25,-74.9,-4354.0
-18.25,-74.8,-4228.0
-18.25,-74.7,-4317.0
-18.25,-74.6,-4959.0
-18.25,-74.5,-4814.0
