anio,mes,region,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,Costa,168,31,31,1.0,168.0
2021,2,Costa,174,28,28,1.0,174.0
2021,3,Costa,3493,31,31,1.0,3493.0
2021,4,Costa,149,30,30,1.0,149.0
2021,5,Costa,81,31,31,1.0,81.0
2021,6,Costa,8,30,30,1.0,8.0
2021,7,Costa,24,30,31,0.9677,24.8
2021,8,Costa,115,31,31,1.0,115.0
2021,9,Costa,120,30,30,1.0,120.0
2021,10,Costa,239,31,31,1.0,239.0
2021,11,Costa,283,30,30,1.0,283.0
2021,12,Costa,264,31,31,1.0,264.0
2022,1,Costa,449,31,31,1.0,449.0
2022,2,Costa,201,28,28,1.0,201.0
2022,3,Costa,697,31,31,1.0,697.0
2022,4,Costa,176,30,30,1.0,176.0
2022,5,Costa,13,31,31,1.0,13.0
2022,6,Costa,7,27,30,0.9,7.8
2022,7,Costa,6,31,31,1.0,6.0
2022,8,Costa,3,30,31,0.9677,3.1
2022,9,Costa,15,30,30,1.0,15.0
2022,10,Costa,68,31,31,1.0,68.0
2022,11,Costa,171,30,30,1.0,171.0
2022,12,Costa,278,31,31,1.0,278.0
2023,1,Costa,393,31,31,1.0,393.0
2023,2,Costa,2745,28,28,1.0,2745.0
2023,3,Costa,4329,31,31,1.0,4329.0
2023,4,Costa,18766,30,30,1.0,18766.0
2023,5,Costa,581,31,31,1.0,581.0
2023,6,Costa,4,26,30,0.8667,4.6
2023,7,Costa,8,30,31,0.9677,8.3
2023,8,Costa,12,31,31,1.0,12.0
2023,9,Costa,20,30,30,1.0,20.0
2023,10,Costa,72,31,31,1.0,72.0
2023,11,Costa,148,30,30,1.0,148.0
2023,12,Costa,309,31,31,1.0,309.0
2024,1,Costa,268,31,31,1.0,268.0
2024,2,Costa,1688,29,29,1.0,1688.0
2024,3,Costa,202,31,31,1.0,202.0
2024,4,Costa,149,30,30,1.0,149.0
2024,5,Costa,19,28,31,0.9032,21.0
2024,6,Costa,3,28,30,0.9333,3.2
2024,7,Costa,0,29,31,0.9355,0.0
2024,8,Costa,0,30,31,0.9677,0.0
2024,9,Costa,8,30,30,1.0,8.0
2024,10,Costa,58,31,31,1.0,58.0
2024,11,Costa,90,30,30,1.0,90.0
2024,12,Costa,195,31,31,1.0,195.0
2025,1,Costa,90,31,31,1.0,90.0
2025,2,Costa,719,28,28,1.0,719.0
