region,n_rayos,pct,km2,pct_area,rayos_por_km2_por_anio
Amazonia,11223234,53.75,555504.5447790672,42.2,4.04
Andes,9616786,46.05,670023.2823101119,50.9,2.87
Costa,41147,0.2,89681.60988020396,6.8,0.09
