anio,mes,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,168,31,31,1.0,168.0
2021,2,174,28,28,1.0,174.0
2021,3,3493,31,31,1.0,3493.0
2021,4,149,30,30,1.0,149.0
2021,5,81,31,31,1.0,81.0
2021,6,8,30,30,1.0,8.0
2021,7,24,30,31,0.9677,24.8
2021,8,115,31,31,1.0,115.0
2021,9,120,30,30,1.0,120.0
2021,10,239,31,31,1.0,239.0
2021,11,283,30,30,1.0,283.0
2021,12,264,31,31,1.0,264.0
2022,1,449,31,31,1.0,449.0
2022,2,201,28,28,1.0,201.0
2022,3,697,31,31,1.0,697.0
2022,4,176,30,30,1.0,176.0
2022,5,13,31,31,1.0,13.0
2022,6,7,27,30,0.9,7.8
2022,7,6,31,31,1.0,6.0
2022,8,3,30,31,0.9677,3.1
2022,9,15,30,30,1.0,15.0
2022,10,68,31,31,1.0,68.0
2022,11,171,30,30,1.0,171.0
2022,12,278,31,31,1.0,278.0
2023,1,393,31,31,1.0,393.0
2023,2,2745,28,28,1.0,2745.0
2023,3,4329,31,31,1.0,4329.0
2023,4,18766,30,30,1.0,18766.0
2023,5,581,31,31,1.0,581.0
2023,6,4,26,30,0.8667,4.6
2023,7,8,30,31,0.9677,8.3
2023,8,12,31,31,1.0,12.0
2023,9,20,30,30,1.0,20.0
2023,10,72,31,31,1.0,72.0
2023,11,148,30,30,1.0,148.0
2023,12,309,31,31,1.0,309.0
2024,1,268,31,31,1.0,268.0
2024,2,1688,29,29,1.0,1688.0
2024,3,202,31,31,1.0,202.0
2024,4,149,30,30,1.0,149.0
2024,5,19,28,31,0.9032,21.0
2024,6,3,28,30,0.9333,3.2
2024,7,0,29,31,0.9355,0.0
2024,8,0,30,31,0.9677,0.0
2024,9,8,30,30,1.0,8.0
2024,10,58,31,31,1.0,58.0
2024,11,90,30,30,1.0,90.0
2024,12,195,31,31,1.0,195.0
2025,1,90,31,31,1.0,90.0
2025,2,719,28,28,1.0,719.0
2025,3,1891,31,31,1.0,1891.0
2025,4,974,30,30,1.0,974.0
2025,5,5,31,31,1.0,5.0
2025,6,3,29,30,0.9667,3.1
2025,7,4,26,31,0.8387,4.8
2025,8,11,30,31,0.9677,11.4
2025,9,26,29,30,0.9667,26.9
2025,10,41,31,31,1.0,41.0
2025,11,77,30,30,1.0,77.0
2025,12,37,31,31,1.0,37.0
