anio,mes,n_rayos,dias_con_datos,dias_del_mes,cobertura,n_rayos_norm
2021,1,178030,31,31,1.0,178030.0
2021,2,405576,28,28,1.0,405576.0
2021,3,291562,31,31,1.0,291562.0
2021,4,80237,30,30,1.0,80237.0
2021,5,39626,31,31,1.0,39626.0
2021,6,46310,30,30,1.0,46310.0
2021,7,17582,30,31,0.9677,18168.1
2021,8,81122,31,31,1.0,81122.0
2021,9,86106,30,30,1.0,86106.0
2021,10,188602,31,31,1.0,188602.0
2021,11,422867,30,30,1.0,422867.0
2021,12,460177,31,31,1.0,460177.0
2022,1,422735,31,31,1.0,422735.0
2022,2,392871,28,28,1.0,392871.0
2022,3,238938,31,31,1.0,238938.0
2022,4,128315,30,30,1.0,128315.0
2022,5,27741,31,31,1.0,27741.0
2022,6,26130,27,30,0.9,29033.3
2022,7,45289,31,31,1.0,45289.0
2022,8,48147,30,31,0.9677,49751.9
2022,9,138115,30,30,1.0,138115.0
2022,10,346983,31,31,1.0,346983.0
2022,11,439199,30,30,1.0,439199.0
2022,12,425708,31,31,1.0,425708.0
2023,1,306344,31,31,1.0,306344.0
2023,2,317517,28,28,1.0,317517.0
2023,3,424152,31,31,1.0,424152.0
2023,4,186442,30,30,1.0,186442.0
2023,5,51165,31,31,1.0,51165.0
2023,6,9552,26,30,0.8667,11021.5
2023,7,19354,30,31,0.9677,19999.1
2023,8,37107,31,31,1.0,37107.0
2023,9,126829,30,30,1.0,126829.0
2023,10,243028,31,31,1.0,243028.0
2023,11,290473,30,30,1.0,290473.0
2023,12,193561,31,31,1.0,193561.0
2024,1,313272,31,31,1.0,313272.0
2024,2,489014,29,29,1.0,489014.0
2024,3,258804,31,31,1.0,258804.0
2024,4,171070,30,30,1.0,171070.0
2024,5,43244,28,31,0.9032,47877.3
2024,6,22519,28,30,0.9333,24127.5
2024,7,14136,29,31,0.9355,15110.9
2024,8,67281,30,31,0.9677,69523.7
2024,9,119352,30,30,1.0,119352.0
2024,10,248052,31,31,1.0,248052.0
2024,11,314032,30,30,1.0,314032.0
2024,12,330199,31,31,1.0,330199.0
2025,1,254801,31,31,1.0,254801.0
2025,2,209117,28,28,1.0,209117.0
2025,3,207773,31,31,1.0,207773.0
2025,4,109474,30,30,1.0,109474.0
2025,5,32198,31,31,1.0,32198.0
2025,6,14039,29,30,0.9667,14523.1
2025,7,5153,26,31,0.8387,6144.0
2025,8,35731,30,31,0.9677,36922.0
2025,9,73499,29,30,0.9667,76033.4
2025,10,137366,31,31,1.0,137366.0
2025,11,217641,30,30,1.0,217641.0
2025,12,351975,31,31,1.0,351975.0
