year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
2021,-0.87,-0.69,-0.82,-0.91,-0.8,-0.37,-0.13,-0.08,-0.25,-0.51,-1.07,-1.25
2022,-1.48,-1.14,-1.29,-1.14,-1.39,-1.27,-1.04,-0.94,-1.19,-1.51,-1.27,-0.83
2023,-0.11,0.52,1.42,1.79,2.08,2.27,2.6,2.58,2.3,1.94,1.41,0.77
2024,0.27,-0.12,-0.32,-0.86,-1.13,-1.25,-1.01,-0.87,-0.84,-0.65,-0.5,-0.43
2025,-0.27,0.19,0.54,0.37,0.16,0.13,0.16,-0.1,-0.28,-0.41,-0.5,-0.59
