archivo,global,peru,fecha,anio,mes
AE20240101.mat,612582,61094,2024-01-01,2024,1
AE20240106.mat,649159,12661,2024-01-06,2024,1
AE20240111.mat,625185,79406,2024-01-11,2024,1
AE20240116.mat,588666,10817,2024-01-16,2024,1
AE20240121.mat,553011,15435,2024-01-21,2024,1
AE20240126.mat,693805,24697,2024-01-26,2024,1
AE20240131.mat,734725,55705,2024-01-31,2024,1
AE20240205.mat,741684,26835,2024-02-05,2024,2
AE20240210.mat,713225,129464,2024-02-10,2024,2
AE20240215.mat,558659,13897,2024-02-15,2024,2
AE20240220.mat,726913,99011,2024-02-20,2024,2
AE20240225.mat,568725,47159,2024-02-25,2024,2
AE20240301.mat,678155,56559,2024-03-01,2024,3
AE20240306.mat,733913,55095,2024-03-06,2024,3
AE20240311.mat,559437,40101,2024-03-11,2024,3
AE20240316.mat,745495,28590,2024-03-16,2024,3
AE20240321.mat,778170,35040,2024-03-21,2024,3
AE20240326.mat,674765,121398,2024-03-26,2024,3
AE20240331.mat,653955,45794,2024-03-31,2024,3
AE20240405.mat,669045,34274,2024-04-05,2024,4
AE20240410.mat,824171,30827,2024-04-10,2024,4
AE20240415.mat,618930,18596,2024-04-15,2024,4
AE20240420.mat,662223,3514,2024-04-20,2024,4
AE20240425.mat,686035,6387,2024-04-25,2024,4
AE20240430.mat,672054,16009,2024-04-30,2024,4
AE20240505.mat,677212,3461,2024-05-05,2024,5
AE20240510.mat,733451,3601,2024-05-10,2024,5
AE20240515.mat,759118,5110,2024-05-15,2024,5
AE20240520.mat,728530,581,2024-05-20,2024,5
AE20240525.mat,676767,10737,2024-05-25,2024,5
AE20240530.mat,670000,5,2024-05-30,2024,5
AE20240604.mat,741738,47,2024-06-04,2024,6
AE20240609.mat,599791,415,2024-06-09,2024,6
AE20240614.mat,642281,958,2024-06-14,2024,6
AE20240619.mat,635624,3254,2024-06-19,2024,6
AE20240624.mat,670175,2883,2024-06-24,2024,6
AE20240629.mat,595321,3540,2024-06-29,2024,6
AE20240704.mat,689336,702,2024-07-04,2024,7
AE20240709.mat,671131,1313,2024-07-09,2024,7
AE20240714.mat,640991,14,2024-07-14,2024,7
AE20240719.mat,592288,9,2024-07-19,2024,7
AE20240724.mat,660163,430,2024-07-24,2024,7
AE20240729.mat,662811,6163,2024-07-29,2024,7
AE20240803.mat,677290,2382,2024-08-03,2024,8
AE20240808.mat,718293,7260,2024-08-08,2024,8
AE20240813.mat,717438,153,2024-08-13,2024,8
AE20240818.mat,714617,8174,2024-08-18,2024,8
AE20240823.mat,750524,7351,2024-08-23,2024,8
AE20240828.mat,712857,94,2024-08-28,2024,8
AE20240902.mat,704105,6104,2024-09-02,2024,9
AE20240907.mat,753322,3658,2024-09-07,2024,9
AE20240912.mat,652702,8950,2024-09-12,2024,9
AE20240917.mat,743290,8411,2024-09-17,2024,9
AE20240922.mat,703512,10919,2024-09-22,2024,9
AE20240927.mat,809180,47312,2024-09-27,2024,9
AE20241002.mat,759984,11382,2024-10-02,2024,10
AE20241007.mat,732723,22038,2024-10-07,2024,10
AE20241012.mat,774312,34750,2024-10-12,2024,10
AE20241017.mat,729688,7315,2024-10-17,2024,10
AE20241022.mat,752118,66498,2024-10-22,2024,10
AE20241027.mat,723597,34911,2024-10-27,2024,10
AE20241101.mat,778984,12411,2024-11-01,2024,11
AE20241106.mat,699942,36899,2024-11-06,2024,11
AE20241111.mat,677385,17535,2024-11-11,2024,11
AE20241116.mat,717615,38686,2024-11-16,2024,11
AE20241121.mat,719497,25493,2024-11-21,2024,11
AE20241126.mat,724051,44501,2024-11-26,2024,11
AE20241201.mat,718654,33973,2024-12-01,2024,12
AE20241206.mat,682378,37022,2024-12-06,2024,12
AE20241211.mat,732352,19149,2024-12-11,2024,12
AE20241216.mat,659064,43211,2024-12-16,2024,12
AE20241221.mat,695815,27757,2024-12-21,2024,12
AE20241226.mat,644989,32070,2024-12-26,2024,12
AE20241231.mat,602601,17225,2024-12-31,2024,12
