archivo,global,peru,fecha,anio,mes
AE20250101.mat,643379.0,13977.0,2025-01-01,2025,1
AE20250110.mat,537858.0,37852.0,2025-01-10,2025,1
AE20250118.mat,572211.0,31734.0,2025-01-18,2025,1
AE20250123.mat,562448.0,23814.0,2025-01-23,2025,1
AE20250129.mat,585557.0,20470.0,2025-01-29,2025,1
AE20250209.mat,502117.0,17232.0,2025-02-09,2025,2
AE20250218.mat,584657.0,28183.0,2025-02-18,2025,2
AE20250302.mat,590189.0,30561.0,2025-03-02,2025,3
AE20250319.mat,597701.0,35311.0,2025-03-19,2025,3
AE20250405.mat,636572.0,9753.0,2025-04-05,2025,4
AE20250426.mat,643082.0,15008.0,2025-04-26,2025,4
AE20250501.mat,620526.0,5085.0,2025-05-01,2025,5
AE20250506.mat,614233.0,2441.0,2025-05-06,2025,5
AE20250511.mat,676704.0,3843.0,2025-05-11,2025,5
AE20250516.mat,652161.0,434.0,2025-05-16,2025,5
AE20250521.mat,682425.0,6114.0,2025-05-21,2025,5
AE20250526.mat,679880.0,520.0,2025-05-26,2025,5
AE20250531.mat,660992.0,78.0,2025-05-31,2025,5
AE20250605.mat,692275.0,2075.0,2025-06-05,2025,6
AE20250610.mat,694947.0,2996.0,2025-06-10,2025,6
AE20250615.mat,696363.0,3782.0,2025-06-15,2025,6
AE20250620.mat,642473.0,621.0,2025-06-20,2025,6
AE20250625.mat,621491.0,4473.0,2025-06-25,2025,6
AE20250630.mat,663672.0,4547.0,2025-06-30,2025,6
AE20250705.mat,655468.0,1.0,2025-07-05,2025,7
AE20250710.mat,635544.0,58.0,2025-07-10,2025,7
AE20250715.mat,654414.0,67.0,2025-07-15,2025,7
AE20250720.mat,607820.0,126.0,2025-07-20,2025,7
AE20250725.mat,665595.0,2957.0,2025-07-25,2025,7
AE20250730.mat,680233.0,2858.0,2025-07-30,2025,7
AE20250804.mat,678079.0,1195.0,2025-08-04,2025,8
AE20250809.mat,663988.0,6803.0,2025-08-09,2025,8
AE20250814.mat,682384.0,7294.0,2025-08-14,2025,8
AE20250819.mat,672616.0,7308.0,2025-08-19,2025,8
AE20250824.mat,672526.0,10329.0,2025-08-24,2025,8
AE20250829.mat,733635.0,2015.0,2025-08-29,2025,8
AE20250903.mat,744722.0,7819.0,2025-09-03,2025,9
AE20250913.mat,681208.0,4648.0,2025-09-13,2025,9
AE20250918.mat,698426.0,4995.0,2025-09-18,2025,9
AE20250923.mat,693387.0,17361.0,2025-09-23,2025,9
AE20250928.mat,753179.0,15587.0,2025-09-28,2025,9
AE20251003.mat,773836.0,24449.0,2025-10-03,2025,10
AE20251008.mat,763258.0,20885.0,2025-10-08,2025,10
AE20251013.mat,712797.0,36166.0,2025-10-13,2025,10
AE20251018.mat,753643.0,9664.0,2025-10-18,2025,10
AE20251023.mat,669907.0,26666.0,2025-10-23,2025,10
AE20251028.mat,641648.0,32514.0,2025-10-28,2025,10
AE20251102.mat,683996.0,27803.0,2025-11-02,2025,11
AE20251107.mat,591514.0,12297.0,2025-11-07,2025,11
AE20251112.mat,604665.0,24056.0,2025-11-12,2025,11
AE20251117.mat,542590.0,30828.0,2025-11-17,2025,11
AE20251122.mat,533869.0,39192.0,2025-11-22,2025,11
AE20251127.mat,671275.0,14615.0,2025-11-27,2025,11
AE20251202.mat,681941.0,108402.0,2025-12-02,2025,12
AE20251207.mat,677867.0,63479.0,2025-12-07,2025,12
AE20251212.mat,649781.0,39371.0,2025-12-12,2025,12
AE20251217.mat,579309.0,24004.0,2025-12-17,2025,12
AE20251222.mat,611645.0,12673.0,2025-12-22,2025,12
AE20251227.mat,582512.0,42049.0,2025-12-27,2025,12
