mes,n_rayos_norm_medio,n_rayos_norm_sd
1,1129527.2,279429.73725285573
2,1244028.4,369491.27557670424
3,1198659.4,189111.27724517116
4,600086.0,222894.4921852041
5,163005.88,62914.83673961175
6,80209.26,26494.656782604296
7,73182.76,52066.664196854406
8,174329.6,56259.21629653225
9,372148.12,72977.95160712584
10,791000.4,235786.57866023673
11,1167521.4,246095.52332641077
12,1243422.0,212404.10774276473
