fecha,anio,mes,mes_nombre,temporada,season,valor,fase_enso,n_rayos_norm,media,anomalia,anomalia_pct,z,z_log
2024-01-01,2024,1,Ene,lluviosa,DJF,1.92,El Nino,1179699.0,1129527.2,50171.80000000005,4.4,0.18,0.271
2024-02-01,2024,2,Feb,lluviosa,JFM,1.62,El Nino,1780972.0,1244028.4,536943.6000000001,43.2,1.453,1.285
2024-03-01,2024,3,Mar,lluviosa,FMA,1.26,El Nino,1164087.0,1198659.4,-34572.39999999991,-2.9,-0.183,-0.125
2024-04-01,2024,4,Abr,lluviosa,MAM,0.82,El Nino,678590.0,600086.0,78504.0,13.1,0.352,0.482
2024-05-01,2024,5,May,seca,AMJ,0.49,Neutral,154517.4,163005.88,-8488.48000000001,-5.2,-0.135,0.009
2024-06-01,2024,6,Jun,seca,MJJ,0.22,Neutral,75289.7,80209.26,-4919.559999999998,-6.1,-0.186,-0.075
2024-07-01,2024,7,Jul,seca,JJA,0.08,Neutral,49933.8,73182.76,-23248.959999999992,-31.8,-0.447,-0.316
2024-08-01,2024,8,Ago,seca,JAS,-0.07,Neutral,188448.0,174329.6,14118.399999999994,8.1,0.251,0.375
2024-09-01,2024,9,Set,seca,ASO,-0.17,Neutral,386609.0,372148.12,14460.880000000005,3.9,0.198,0.271
2024-10-01,2024,10,Oct,lluviosa,SON,-0.21,Neutral,749131.0,791000.4,-41869.40000000002,-5.3,-0.178,-0.067
2024-11-01,2024,11,Nov,lluviosa,OND,-0.3,Neutral,1287975.0,1167521.4,120453.6000000001,10.3,0.489,0.493
2024-12-01,2024,12,Dic,lluviosa,NDJ,-0.42,Neutral,1134390.0,1243422.0,-109032.0,-8.8,-0.513,-0.478
2025-01-01,2025,1,Ene,lluviosa,DJF,-0.45,Neutral,941617.0,1129527.2,-187910.19999999995,-16.6,-0.672,-0.617
2025-02-01,2025,2,Feb,lluviosa,JFM,-0.24,Neutral,762417.0,1244028.4,-481611.3999999999,-38.7,-1.303,-1.471
2025-03-01,2025,3,Mar,lluviosa,FMA,-0.06,Neutral,958673.0,1198659.4,-239986.3999999999,-20.0,-1.269,-1.367
2025-04-01,2025,4,Abr,lluviosa,MAM,0.02,Neutral,546132.0,600086.0,-53954.0,-9.0,-0.242,-0.11
2025-05-01,2025,5,May,seca,AMJ,-0.02,Neutral,126578.0,163005.88,-36427.880000000005,-22.3,-0.579,-0.523
2025-06-01,2025,6,Jun,seca,MJJ,-0.04,Neutral,57622.0,80209.26,-22587.259999999995,-28.2,-0.853,-0.94
2025-07-01,2025,7,Jul,seca,JJA,-0.14,Neutral,27063.0,73182.76,-46119.759999999995,-63.0,-0.886,-1.258
2025-08-01,2025,8,Ago,seca,JAS,-0.28,Neutral,116596.0,174329.6,-57733.600000000006,-33.1,-1.026,-1.15
2025-09-01,2025,9,Set,seca,ASO,-0.4,Neutral,282617.6,372148.12,-89530.52000000002,-24.1,-1.227,-1.313
2025-10-01,2025,10,Oct,lluviosa,SON,-0.51,La Nina,519078.0,791000.4,-271922.4,-34.4,-1.153,-1.316
2025-11-01,2025,11,Nov,lluviosa,OND,-0.55,La Nina,750503.0,1167521.4,-417018.3999999999,-35.7,-1.695,-1.73
2025-12-01,2025,12,Dic,lluviosa,NDJ,-0.54,La Nina,1134880.0,1243422.0,-108542.0,-8.7,-0.511,-0.475
