lag_meses,n,n_efectivo,pearson_r,p_aprox
0,60,28.2,-0.02,0.9181680704768529
1,59,27.5,-0.062,0.7566950448859591
2,58,27.0,-0.094,0.6393160371222528
3,57,26.5,-0.126,0.5348913782519291
4,56,25.5,-0.169,0.4154041667109484
5,55,24.7,-0.176,0.40299404551850226
6,54,22.9,-0.154,0.4848971666185249
