lag_meses,n,n_efectivo,pearson_r,p_aprox
0,60,18.1,-0.061,0.8081672408477433
1,59,18.0,-0.06,0.8128889382940675
2,58,17.2,-0.09,0.7282787080846498
3,57,16.7,-0.087,0.7423205394204364
4,56,15.7,-0.081,0.7686738209774384
5,55,16.2,-0.054,0.8408334198832911
6,54,16.2,-0.036,0.8945967038697084
