month,mes,n_eventos,porcentaje_anual,dias_con_datos,promedio_diario,eventos_con_energia,eventos_sin_energia,porcentaje_con_energia,porcentaje_sin_energia,energia_media_j,energia_mediana_j,energia_max_j,residual_promedio_km,nstations_promedio
1,Enero,1507103,15.939631528826656,31,48616.22580645161,1507103,0,100.0,0.0,1979.5764386906535,494.87,40720438.53,12.400599096412124,7.4150121126426
2,Febrero,1336139,14.131458388242157,28,47719.25,1336139,0,100.0,0.0,1998.6603405558853,422.43,64771418.19,12.583883113957455,7.50753926051107
3,Marzo,1218368,12.885872423127998,31,39302.1935483871,1218368,0,100.0,0.0,3634.7407395630876,720.12,68596378.15,12.666824145085885,7.6597702828702
4,Abril,483205,5.110539659788803,30,16106.833333333334,483205,0,100.0,0.0,2992.52701958796,780.1,7739047.79,12.38107801036827,7.435510808042135
5,Mayo,95999,1.015317922620969,31,3096.7419354838707,95999,0,100.0,0.0,3014.5715589745723,880.88,9955257.32,10.876496630173232,6.987374868488214
6,Junio,86407,0.9138696834332657,30,2880.233333333333,86407,0,100.0,0.0,2984.0527158679274,881.66,888062.7,10.415266124272339,6.743481430902589
7,Julio,161712,1.7103208564972776,31,5216.5161290322585,161712,0,100.0,0.0,2056.5062658306124,626.16,25214474.23,9.965470094983676,6.47201815573365
8,Agosto,174513,1.8457085660304084,31,5629.451612903225,174513,0,100.0,0.0,1744.7718839284178,756.83,3940913.22,9.977893910482313,6.342616309386694
9,Septiembre,473465,5.007526122498537,30,15782.166666666666,473465,0,100.0,0.0,1289.2129199412839,557.89,1953157.37,10.757555891142957,6.811035662614977
10,Octubre,1151119,12.17462423326834,31,37132.87096774193,1151119,0,100.0,0.0,670.5489238558307,295.49,1107049.54,12.485564568042053,7.456554013963804
11,Noviembre,1240680,13.121851688427835,30,41356.0,1240680,0,100.0,0.0,653.4801492729794,252.39,4634045.5,12.293420221169036,7.5984645516974565
12,Diciembre,1526358,16.143278927237752,31,49237.354838709674,1526358,0,100.0,0.0,993.1341311540282,253.2,54366704.43,12.211913980861633,7.3683251242500125
