date,n_eventos
2022-08-08,4260
2022-08-09,8041
2022-08-10,12171
2022-08-11,545
2022-08-12,21
2022-08-13,1577
2022-08-14,6507
2022-08-15,4542
2022-08-16,2946
2022-08-17,3080
2022-08-18,3647
2022-08-19,33884
2022-08-20,1770
2022-08-21,207
2022-08-22,284
2022-08-23,10
2022-08-24,208
2022-08-25,2061
2022-08-26,12503
2022-08-27,9271
2022-08-28,5651
2022-08-29,11781
2022-08-30,3105
2022-08-31,1126
2022-09-01,621
2022-09-02,8173
2022-09-03,20696
2022-09-04,10763
2022-09-05,2419
2022-09-06,1667
2022-09-07,3100
2022-09-08,4789
2022-09-09,17761
2022-09-10,30814
2022-09-11,5719
2022-09-12,2977
2022-09-13,5290
2022-09-14,28925
2022-09-15,41373
2022-09-16,11205
2022-09-17,589
2022-09-18,2393
2022-09-19,6963
2022-09-20,22842
2022-09-21,8244
2022-09-22,14258
2022-09-23,74308
2022-09-24,15897
2022-09-25,7107
2022-09-26,7044
2022-09-27,10404
2022-09-28,11124
2022-09-29,40239
2022-09-30,55761
2022-10-01,10766
2022-10-02,26426
2022-10-03,21518
2022-10-04,27915
2022-10-05,23808
2022-10-06,38922
2022-10-07,108892
2022-10-08,47310
2022-10-09,8135
2022-10-10,12822
2022-10-11,19722
2022-10-12,14273
2022-10-13,26907
2022-10-14,72182
2022-10-15,32172
2022-10-16,20459
2022-10-17,6970
2022-10-18,24875
2022-10-19,23764
2022-10-20,12338
2022-10-21,18786
2022-10-22,52407
2022-10-23,61102
2022-10-24,10627
2022-10-25,21017
2022-10-26,43031
2022-10-27,126825
2022-10-28,166513
2022-10-29,26913
2022-10-30,14597
2022-10-31,29125
2022-11-01,73995
2022-11-02,21012
2022-11-03,1124
2022-11-04,520
2022-11-05,1276
2022-11-06,273
2022-11-07,6755
2022-11-08,24511
2022-11-09,47687
2022-11-10,96722
2022-11-11,41530
2022-11-12,28308
2022-11-13,36786
2022-11-14,83161
2022-11-15,81517
2022-11-16,24159
2022-11-17,22080
2022-11-18,8924
2022-11-19,24158
2022-11-20,38474
2022-11-21,60169
2022-11-22,161182
2022-11-23,141073
2022-11-24,8389
2022-11-25,58974
2022-11-26,35261
2022-11-27,51476
2022-11-28,14489
2022-11-29,12423
2022-11-30,34272
2022-12-01,51131
2022-12-02,129299
2022-12-03,114257
2022-12-04,15020
2022-12-05,33600
2022-12-06,59468
2022-12-07,46194
2022-12-08,26828
2022-12-09,35516
2022-12-10,45444
2022-12-11,47427
2022-12-12,41137
2022-12-13,60261
2022-12-14,21266
2022-12-15,32989
2022-12-16,41205
2022-12-17,48203
2022-12-18,31808
2022-12-19,32460
2022-12-20,35057
2022-12-21,45777
2022-12-22,39094
2022-12-23,33408
2022-12-24,18250
2022-12-25,128931
2022-12-26,40265
2022-12-27,38577
2022-12-28,49506
2022-12-29,64403
2022-12-30,57535
2022-12-31,62042
