date,n_eventos
2022-01-01,35344
2022-01-02,41411
2022-01-03,56359
2022-01-04,64026
2022-01-05,34561
2022-01-06,45143
2022-01-07,16289
2022-01-08,56272
2022-01-09,33277
2022-01-10,13794
2022-01-11,32404
2022-01-12,80339
2022-01-13,70489
2022-01-14,102045
2022-01-15,77927
2022-01-16,26350
2022-01-17,36136
2022-01-18,58640
2022-01-19,67493
2022-01-20,53201
2022-01-21,20871
2022-01-22,17268
2022-01-23,23863
2022-01-24,33223
2022-01-25,49821
2022-01-26,27811
2022-01-27,66631
2022-01-28,77548
2022-01-29,47139
2022-01-30,79838
2022-01-31,61590
2022-02-01,30826
2022-02-02,36021
2022-02-03,22387
2022-02-04,35703
2022-02-05,61435
2022-02-06,97493
2022-02-07,56152
2022-02-08,10480
2022-02-09,44184
2022-02-10,22068
2022-02-11,57564
2022-02-12,82315
2022-02-13,85574
2022-02-14,44640
2022-02-15,59895
2022-02-16,36995
2022-02-17,19055
2022-02-18,36410
2022-02-19,88893
2022-02-20,154002
2022-02-21,93381
2022-02-22,24150
2022-02-23,21391
2022-02-24,20348
2022-02-25,39295
2022-02-26,23886
2022-02-27,10626
2022-02-28,20970
2022-03-01,21193
2022-03-02,42236
2022-03-03,18922
2022-03-04,16527
2022-03-05,29579
2022-03-06,73113
2022-03-07,73431
2022-03-08,120190
2022-03-09,25382
2022-03-10,84821
2022-03-11,70177
2022-03-12,76266
2022-03-13,70000
2022-03-14,45897
2022-03-15,35210
2022-03-16,31074
2022-03-17,16516
2022-03-18,11770
2022-03-19,37235
2022-03-20,27796
2022-03-21,21027
2022-03-22,14435
2022-03-23,23545
2022-03-24,41626
2022-03-25,53169
2022-03-26,40456
2022-03-27,14860
2022-03-28,8857
2022-03-29,12460
2022-03-30,24866
2022-03-31,35732
2022-04-01,26958
2022-04-02,22748
2022-04-03,6978
2022-04-04,4769
2022-04-05,4327
2022-04-06,10651
2022-04-07,5623
2022-04-08,22441
2022-04-09,40635
2022-04-10,12003
2022-04-11,3267
2022-04-12,10337
2022-04-13,27096
2022-04-14,15114
2022-04-15,17131
2022-04-16,5383
2022-04-17,5910
2022-04-18,5883
2022-04-19,3000
2022-04-20,8939
2022-04-21,7108
2022-04-22,5282
2022-04-23,24591
2022-04-24,92328
2022-04-25,18986
2022-04-26,3608
2022-04-27,17733
2022-04-28,20449
2022-04-29,19077
2022-04-30,14850
2022-05-01,3353
2022-05-02,2078
2022-05-03,8941
2022-05-04,6080
2022-05-05,1413
2022-05-06,225
2022-05-07,540
2022-05-08,1371
2022-05-09,4241
2022-05-10,5379
2022-05-11,2533
2022-05-12,2222
2022-05-13,668
2022-05-14,2077
2022-05-15,3441
2022-05-16,2947
2022-05-17,1492
2022-05-18,353
2022-05-19,843
2022-05-20,705
2022-05-21,326
2022-05-22,756
2022-05-23,4749
2022-05-24,11196
2022-05-25,6897
2022-05-26,3438
2022-05-27,4499
2022-05-28,2033
2022-05-29,1348
2022-05-30,3857
2022-05-31,5998
2022-06-01,9777
2022-06-02,1218
2022-06-03,5040
2022-06-04,3758
2022-06-05,3350
2022-06-06,5210
2022-06-07,4034
2022-06-08,2725
2022-06-09,11746
2022-06-10,12403
2022-06-11,5614
2022-06-12,35
2022-06-13,63
2022-06-14,1
2022-06-15,25
2022-06-16,45
2022-06-17,42
2022-06-18,4522
2022-06-19,3967
2022-06-20,1910
2022-06-21,2062
2022-06-22,1804
2022-06-23,718
2022-06-24,3062
2022-06-25,828
2022-06-26,201
2022-06-27,152
2022-06-28,52
2022-06-29,1716
2022-06-30,327
2022-07-01,1382
2022-07-02,629
2022-07-03,1813
2022-07-04,844
2022-07-05,2390
2022-07-06,1267
2022-07-07,5608
2022-07-08,8294
2022-07-09,3144
2022-07-10,975
2022-07-11,58
2022-07-12,2419
2022-07-13,5703
2022-07-14,1216
2022-07-15,2492
2022-07-16,8656
2022-07-17,35588
2022-07-18,24211
2022-07-19,3646
2022-07-20,1413
2022-07-21,490
2022-07-22,1535
2022-07-23,4308
2022-07-24,9580
2022-07-25,10490
2022-07-26,7740
2022-07-27,8427
2022-07-28,1098
2022-07-29,2784
2022-07-30,1864
2022-07-31,1648
2022-08-01,8134
2022-08-02,6380
2022-08-03,2393
2022-08-04,11797
2022-08-05,11395
2022-08-06,2252
2022-08-07,2964
