hour,n_eventos
0,502174
1,435912
2,375740
3,361223
4,357844
5,366491
6,345596
7,332251
8,295695
9,255636
10,217924
11,197958
12,184235
13,169797
14,159776
15,166641
16,266086
17,421418
18,580043
19,673852
20,720180
21,743319
22,712782
23,612495
